"location" "date" "time" "site" "rl" "length_m" "barnacles" "distortionr_m" "age" "magic_thaums"
"203" "E" "30/09/2024" "14:40:00" "2" "L" 75 1 11 7 770.817092769413
"204" "E" "30/09/2024" "14:40:00" "2" "R" 61 0 1 24 599.391472783473
"221" "W" "29/09/2019" "16:00:00" "1" "L" 32 0 20 12 492.261712225034
"222" "W" "29/09/2019" "16:00:00" "1" "R" 24 0 50 11 308.272966228993
"223" "W" "29/09/2019" "16:00:00" "2" "L" 62 0 1 23 782.358739278934
"224" "W" "29/09/2019" "16:00:00" "2" "R" 37 1 1 24 210.050837248321
"241" "W" "29/09/2024" "16:00:00" "1" "L" 32 0 20 12 338.899153487013
"242" "W" "29/09/2024" "16:00:00" "1" "R" 24 0 50 11 290.373430770397
"243" "W" "29/09/2024" "16:00:00" "2" "L" 62 0 1 23 556.121977705777
"244" "W" "29/09/2024" "16:00:00" "2" "R" 37 1 1 24 318.942278148092
"261" "W" "30/09/2024" "15:00:00" "1" "L" 60 0 56 25 709.633456901088
"262" "W" "30/09/2024" "15:00:00" "1" "R" 30 0 3 35 467.702685099022
"263" "W" "30/09/2024" "15:00:00" "2" "L" 70 0 75 21 845.693652921959
"264" "W" "30/09/2024" "15:00:00" "2" "R" 27 0 0 10 128.706080053991
"281" "E" "02/10/2024" "17:08:00" "1" "L" 57 0 0 7 640.377223887528
"282" "E" "02/10/2024" "17:08:00" "1" "R" 36 0 8 9 554.288702412692
"283" "E" "02/10/2024" "17:08:00" "2" "L" 56 0 0 38 556.424217766763
"284" "E" "02/10/2024" "17:08:00" "2" "R" 52 0 2 22 538.453571010655
"301" "W" "28/09/2024" "13:42:00" "1" "L" 50 1 12 42 624.576320840259
"302" "W" "28/09/2024" "13:42:00" "1" "R" 20 1 34 19 242.593562125066
"303" "W" "28/09/2024" "13:42:00" "2" "L" 69 0 0 12 635.5866433741
"304" "W" "28/09/2024" "13:42:00" "2" "R" 42 2 2 27 287.594958011143
"321" "E" "29/09/2024" "14:07:00" "1" "L" 48 1 142 20 352.629633178734
"322" "E" "29/09/2024" "14:07:00" "1" "R" 28 0 5 35 282.923251872141
"323" "E" "29/09/2024" "14:07:00" "2" "L" 64 2 31 21 810.096138503835
"324" "E" "29/09/2024" "14:07:00" "2" "R" 33 0 7 19 356.177087357016
"341" "W" "29/09/2024" "14:00:00" "1" "L" 48 0 9 24 642.546589578459
"342" "W" "29/09/2024" "14:00:00" "1" "R" 17 0 15 19 239.555775064616
"343" "W" "29/09/2024" "14:00:00" "2" "L" 73 34 20 12 708.834315701522
"344" "W" "29/09/2024" "14:00:00" "2" "R" 35 0 45 24 131.556471686107
"361" "W" "29/09/2024" "12:30:00" "1" "L" 40 0 74 27 424.114155830881
"362" "W" "29/09/2024" "12:30:00" "1" "R" 27 0 29 13 285.97525356909
"363" "W" "29/09/2024" "12:30:00" "2" "L" 60 0 53 14 671.895553272953
"364" "W" "29/09/2024" "12:30:00" "2" "R" 45 0 31 21 254.96753720566
"381" "W" "27/09/2024" "15:34:00" "1" "L" 42 0 15 34 643.950546254292
"382" "W" "27/09/2024" "15:34:00" "1" "R" 33 0 3 28 360.44150542733
"383" "W" "27/09/2024" "15:34:00" "2" "L" 71 1 0 33 941.564182026849
"384" "W" "27/09/2024" "15:34:00" "2" "R" 29 1 85 16 213.931462858975
"401" "W" "01/10/2024" "15:20:00" "1" "L" 55 1 4 12 675.040191009216
"402" "W" "01/10/2024" "15:20:00" "1" "R" 34 0 38 18 460.069176825738
"403" "W" "01/10/2024" "15:20:00" "2" "L" 64 2 2 28 622.36496546764
"404" "W" "01/10/2024" "15:20:00" "2" "R" 41 0 15 17 222.945815321371
"421" "W" "02/10/2024" "16:20:00" "1" "L" 52 0 0 44 693.894870585093
"422" "W" "02/10/2024" "16:20:00" "1" "R" 22 0 50 13 304.633599711745
"423" "W" "02/10/2024" "16:20:00" "2" "L" 67 0 42 22 661.411380784893
"424" "W" "02/10/2024" "16:20:00" "2" "R" 47 0 30 12 461.877732334538
"441" "W" "03/10/2024" "18:00:00" "1" "L" 58 0 9 8 527.723887174787
"442" "W" "03/10/2024" "18:00:00" "1" "R" 36 0 51 9 373.412348206842
"443" "W" "03/10/2024" "18:00:00" "2" "L" 61 0 62 11 491.270241374071
"444" "W" "03/10/2024" "18:00:00" "2" "R" 28 0 47 24 282.527893390348
"461" "W" "02/10/2024" "17:15:00" "1" "L" 24 0 14 11 299.36452186164
"462" "W" "02/10/2024" "17:15:00" "1" "R" 22 0 31 10 315.754123074115
"463" "W" "02/10/2024" "17:15:00" "2" "L" 60 6 23 22 575.94428367459
"464" "W" "02/10/2024" "17:15:00" "2" "R" 39 0 12 12 519.270929185071
"481" "E" "02/10/2024" "16:15:00" "1" "L" 53 4 9 15 715.508142755825
"482" "E" "02/10/2024" "16:15:00" "1" "R" 45 4 30 10 506.062840924926
"483" "E" "02/10/2024" "16:15:00" "2" "L" 73 0 5 43 593.177893871497
"484" "E" "02/10/2024" "16:15:00" "2" "R" 73 0 1 29 531.895844083858
"501" "E" "30/09/2024" "16:00:00" "1" "L" 52 6 32 9 660.828936592264
"502" "E" "30/09/2024" "16:00:00" "1" "R" 13 0 62 16 108.624003956263
"503" "E" "30/09/2024" "16:00:00" "2" "L" 42 0 111 8 458.623354982711
"504" "E" "30/09/2024" "16:00:00" "2" "R" 29 0 35 11 267.709412927543
"521" "W" "03/10/2024" "09:10:00" "1" "L" 40 0 30 25 378.623333614644
"522" "W" "03/10/2024" "09:10:00" "1" "R" 34 2 5 31 521.036048056382
"523" "W" "03/10/2024" "09:10:00" "2" "L" 51 0 7 27 275.696006233765
"524" "W" "03/10/2024" "09:10:00" "2" "R" 50 0 5 35 604.58694724344
"541" "E" "30/09/2024" "14:30:00" "1" "L" 60 0 5 58 678.444603334349
"542" "E" "30/09/2024" "14:30:00" "1" "R" 26 0 9 25 221.654657412713
"543" "E" "30/09/2024" "14:30:00" "2" "L" 66 1 13 26 606.84179032622
"544" "E" "30/09/2024" "14:30:00" "2" "R" 37 1 21 14 345.956846019727
"561" "W" "29/09/2024" "14:15:00" "1" "L" 59 0 10 47 629.521626708677
"562" "W" "29/09/2024" "14:15:00" "1" "R" 45 0 100 52 630.372702111457
"563" "W" "29/09/2024" "14:15:00" "2" "L" 67 0 1 14 539.531684796705
"564" "W" "29/09/2024" "14:15:00" "2" "R" 54 0 14 31 418.129573795548
"581" "W" "27/09/2024" "14:10:00" "1" "L" 45 0 18 23 605.315167199086
"582" "W" "27/09/2024" "14:10:00" "1" "R" 37 3 18 14 287.98577628428
"583" "W" "27/09/2024" "14:10:00" "2" "L" 58 0 2 14 508.028017685181
"584" "W" "27/09/2024" "14:10:00" "2" "R" 43 0 40 25 420.138240131255
"601" "W" "30/09/2024" "14:15:00" "1" "L" 40 2 21 14 505.307013152319
"602" "W" "30/09/2024" "14:15:00" "1" "R" 20 0 5 10 213.032618603391
"603" "W" "30/09/2024" "14:15:00" "2" "L" 57 0 90 20 639.796639191254
"604" "W" "30/09/2024" "14:15:00" "2" "R" 38 0 130 17 229.376799270107
"621" "E" "05/10/2024" "08:10:00" "1" "L" 55 0 3 14 741.292235220873
"622" "E" "05/10/2024" "08:10:00" "1" "R" 20 0 5 21 270.123129891727
"623" "E" "05/10/2024" "08:10:00" "2" "L" 68 0 15 14 655.661430527823
"624" "E" "05/10/2024" "08:10:00" "2" "R" 39 0 35 22 254.688795264379
"641" "E" "30/09/2024" "15:20:00" "1" "L" 52 2 18 34 518.778583976349
"642" "E" "30/09/2024" "15:20:00" "1" "R" 36 1 3 21 439.669390432323
"643" "E" "30/09/2024" "15:20:00" "2" "L" 72 21 0 11 751.785030029135
"644" "E" "30/09/2024" "15:20:00" "2" "R" 36 1 22 14 287.424005517984
"661" "E" "01/10/2024" "17:35:00" "1" "L" 49 8 6 19 609.599861530645
"662" "E" "01/10/2024" "17:30:00" "1" "R" 22 0 88 17 412.47408592925
"663" "E" "01/10/2024" "17:45:00" "2" "L" 54 1 4 8 392.123676088733
"664" "E" "01/10/2024" "17:40:00" "2" "R" 45 0 57 14 433.297492424691
"681" "W" "29/09/2024" "15:00:00" "1" "L" 54 0 1 35 718.935825249878
"682" "W" "29/09/2024" "15:00:00" "1" "R" 45 0 0 34 698.812501068617
"683" "W" "29/09/2024" "15:00:00" "2" "L" 68 0 0 32 486.547473889949
"684" "W" "29/09/2024" "15:00:00" "2" "R" 64 0 25 43 547.172260370315
"701" "W" "29/09/2024" "12:40:00" "1" "L" 47 0 19 10 578.346068549558
"702" "W" "29/09/2024" "12:40:00" "1" "R" 33 0 40 29 536.493166715353
"703" "W" "29/09/2024" "12:40:00" "2" "L" 58 9 13 24 446.527351230202
"704" "W" "29/09/2024" "12:40:00" "2" "R" 36 0 4 12 263.078953461377
"721" "W" "05/10/2024" "10:45:00" "1" "L" 41 0 30 25 551.430575206524
"722" "W" "05/10/2024" "10:45:00" "1" "R" 17 0 190 36 311.037166985122
"723" "W" "05/10/2024" "10:45:00" "2" "L" 70 0 164 45 514.890658991628
"724" "W" "05/10/2024" "10:45:00" "2" "R" 38 0 181 52 289.295319690512
"741" "W" "29/09/2024" "15:00:00" "1" "L" 50 0 10 45 546.196164184744
"742" "W" "29/09/2024" "15:00:00" "1" "R" 25 0 12 5 345.031880700656
"743" "W" "29/09/2024" "15:00:00" "2" "L" 55 0 1 20 529.035640279331
"744" "W" "29/09/2024" "15:00:00" "2" "R" 75 0 9 10 694.431695221176
"761" "W" "06/09/2024" "10:30:00" "1" "L" 45 0 160 20 522.433942880064
"762" "W" "06/09/2024" "10:30:00" "1" "R" 35 0 25 20 424.756118701591
"763" "W" "06/09/2024" "10:30:00" "2" "L" 55 0 110 35 606.797754641038
"764" "W" "06/09/2024" "10:30:00" "2" "R" 41 4 100 21 498.570639853143
"781" "W" "02/10/2024" "16:34:00" "1" "L" 30 3 0 15 457.301138233822
"782" "W" "02/10/2024" "16:34:00" "1" "R" 25 0 19 19 377.142129167063
"783" "W" "02/10/2024" "16:34:00" "2" "L" 50 0 24 11 533.286965395151
"784" "W" "02/10/2024" "16:34:00" "2" "R" 28 0 17 20 222.936306540564
"801" "W" "02/10/2024" "15:43:00" "1" "L" 38 5 32 19 425.096815334288
"802" "W" "02/10/2024" "15:43:00" "1" "R" 35 5 101 27 561.166390222224
"803" "W" "02/10/2024" "15:43:00" "2" "L" 63 0 60 17 703.406043104508
"804" "W" "02/10/2024" "15:43:00" "2" "R" 52 0 55 27 444.437667663723
"821" "W" "02/10/2024" "16:20:00" "1" "L" 55 1 19 10 806.043761667116
"822" "W" "02/10/2024" "16:20:00" "1" "R" 25 0 1 24 301.364286551018
"823" "W" "02/10/2024" "16:20:00" "2" "L" 43 0 12 13 260.892460079093
"824" "W" "02/10/2024" "16:20:00" "2" "R" 35 0 15 10 316.98374802766
"841" "E" "28/09/2024" "14:20:00" "1" "L" 47 0 78 27 691.896515216753
"842" "E" "28/09/2024" "14:20:00" "1" "R" 33 0 33 28 408.509282365094
"843" "E" "28/09/2024" "14:20:00" "2" "L" 54 0 6 10 446.618905387094
"844" "E" "28/09/2024" "14:20:00" "2" "R" 41 2 2 25 249.624174808585
"861" "E" "03/10/2024" "16:20:00" "1" "L" 25 0 0 15 511.514351504582
"862" "E" "03/10/2024" "16:20:00" "1" "R" 17 0 10 17 169.145820415781
"863" "E" "03/10/2024" "16:20:00" "2" "L" 55 0 19 22 496.483966665637
"864" "E" "03/10/2024" "16:20:00" "2" "R" 36 0 5 12 105.587894898589
"881" "W" "30/09/2024" "15:30:00" "1" "L" 51 0 8 17 548.35276503308
"882" "W" "30/09/2024" "15:30:00" "1" "R" 47 0 30 11 506.408987958796
"883" "W" "30/09/2024" "15:30:00" "2" "L" 61 0 19 21 682.28157130564
"884" "W" "30/09/2024" "15:30:00" "2" "R" 39 0 36 19 290.050547611944
"901" "W" "29/09/2024" "15:30:00" "1" "L" 48 1 5 26 617.842642388808
"902" "W" "29/09/2024" "15:30:00" "1" "R" 19 0 75 48 312.832422745577
"903" "W" "29/09/2024" "15:30:00" "2" "L" 56 0 12 21 252.640065914093
"904" "W" "29/09/2024" "15:30:00" "2" "R" 36 0 12 41 425.09649666308
"921" "E" "30/09/2024" "14:40:00" "1" "L" 57 16 1 30 629.040816729344
"922" "E" "30/09/2024" "14:40:00" "1" "R" 37 2 75 39 482.434374717765
"923" "E" "30/09/2024" "14:40:00" "2" "L" 73 0 5 6 600.179252072624
"924" "E" "30/09/2024" "14:40:00" "2" "R" 62 1 1 25 458.40853059494
"941" "W" "03/10/2024" "17:10:00" "1" "L" 41 0 3 18 284.104298233601
"942" "W" "03/10/2024" "17:10:00" "1" "R" 21 0 38 19 351.52651802163
"943" "W" "03/10/2024" "17:10:00" "2" "L" 61 1 43 16 603.149578923166
"944" "W" "03/10/2024" "17:10:00" "2" "R" 47 0 13 24 381.925488325038
"961" "W" "02/10/2024" "16:50:00" "1" "L" 33 0 120 22 533.182182174523
"962" "W" "02/10/2024" "16:50:00" "1" "R" 22 0 120 33 425.381460130583
"963" "W" "02/10/2024" "16:50:00" "2" "L" 54 0 2 23 411.977087316381
"964" "W" "02/10/2024" "16:50:00" "2" "R" 48 0 50 32 367.222657267941
"981" "W" "30/09/2024" "15:40:00" "1" "L" 46 1 21 26 687.046318339711
"982" "W" "30/09/2024" "15:40:00" "1" "R" 18 0 62 25 365.317722496115
"983" "W" "30/09/2024" "15:40:00" "2" "L" 59 11 0 14 486.652532555344
"984" "W" "30/09/2024" "15:40:00" "2" "R" 50 2 23 20 298.795240067882
"1001" "W" "30/09/2024" "15:30:00" "1" "L" 36 1 13 15 412.626785091344
"1002" "W" "30/09/2024" "15:30:00" "1" "R" 26 0 3 11 350.444555488952
"1003" "W" "30/09/2024" "15:30:00" "2" "L" 61 3 42 13 582.530564273919
"1004" "W" "30/09/2024" "15:30:00" "2" "R" 36 0 13 8 509.77165540918
"1021" "E" "30/09/2024" "15:20:00" "1" "L" 53 0 25 44 685.905036588034
"1022" "E" "30/09/2024" "15:20:00" "1" "R" 39 0 66 27 672.398034611467
"1023" "E" "30/09/2024" "15:20:00" "2" "L" 70 0 18 11 804.252068242783
"1024" "E" "30/09/2024" "15:20:00" "2" "R" 67 0 0 10 593.041561074658
"1041" "E" "06/10/2024" "09:30:00" "1" "L" 68 2 13 30 745.517222880868
"1042" "E" "06/10/2024" "09:30:00" "1" "R" 27 0 7 17 337.305370611783
"1043" "E" "06/10/2024" "09:30:00" "2" "L" 88 8 27 35 920.246656601505
"1044" "E" "06/10/2024" "09:30:00" "2" "R" 44 1 27 23 350.733013064265
"1061" "W" "04/10/2024" "17:00:00" "1" "L" 32 10 218 22 508.84421287092
"1062" "W" "04/10/2024" "17:00:00" "1" "R" 25 0 110 28 354.926564536842
"1063" "W" "04/10/2024" "17:00:00" "2" "L" 52 0 195 24 470.613182239414
"1064" "W" "04/10/2024" "17:00:00" "2" "R" 37 0 70 24 372.217250582429
"1081" "W" "10/06/2024" "10:00:00" "1" "L" 33 0 2 23 451.640198386063
"1082" "W" "10/06/2024" "10:00:00" "1" "R" 32 1 6 30 452.148992670629
"1083" "W" "10/06/2024" "10:00:00" "2" "L" 49 0 3 24 319.51644615508
"1084" "W" "10/06/2024" "10:00:00" "2" "R" 47 1 40 30 494.68725188437
"1101" "E" "29/09/2024" "14:35:00" "1" "L" 51 29 35 18 602.703137513528
"1102" "E" "29/09/2024" "14:35:00" "1" "R" 30 0 5 23 549.412948681705
"1103" "E" "29/09/2024" "14:35:00" "2" "L" 75 65 8 18 688.285279506522
"1104" "E" "29/09/2024" "14:35:00" "2" "R" 69 4 4 14 537.237372828665
"1121" "W" "02/10/2024" "16:00:00" "1" "L" 40 18 20 25 510.798405052151
"1122" "W" "02/10/2024" "16:00:00" "1" "R" 35 5 15 18 374.539645551243
"1123" "W" "02/10/2024" "16:00:00" "2" "L" 70 0 30 21 521.07415250781
"1124" "W" "02/10/2024" "16:00:00" "2" "R" 52 1 16 13 602.295059980942
"1141" "W" "30/09/2024" "15:30:00" "1" "L" 45 0 61 23 648.948259468747
"1142" "W" "30/09/2024" "15:30:00" "1" "R" 25 0 60 17 190.6740526904
"1143" "W" "30/09/2024" "15:30:00" "2" "L" 75 2 5 14 601.059833441305
"1144" "W" "30/09/2024" "15:30:00" "2" "R" 39 0 41 23 297.92254269053
"1161" "W" "05/10/2024" "10:00:00" "1" "L" 38 3 16 12 527.021659654812
"1162" "W" "05/10/2024" "10:00:00" "1" "R" 12 0 4 15 276.191142517241
"1163" "W" "05/10/2024" "10:00:00" "2" "L" 39 0 9 22 275.544499177438
"1164" "W" "05/10/2024" "10:00:00" "2" "R" 30 1 5 18 118.247219433788
"1181" "W" "02/10/2024" "17:00:00" "1" "L" 49 5 11 10 583.219481099444
"1182" "W" "02/10/2024" "17:00:00" "1" "R" 34 0 28 17 590.137030991257
"1183" "W" "02/10/2024" "17:00:00" "2" "L" 69 1 17 19 671.146444624748
"1184" "W" "02/10/2024" "17:00:00" "2" "R" 42 0 13 16 432.54516035267
"1201" "W" "02/10/2024" "16:30:00" "1" "L" 26 0 47 45 164.116750475816
"1202" "W" "02/10/2024" "16:30:00" "1" "R" 59 0 52 43 818.059442697112
"1203" "W" "02/10/2024" "16:30:00" "2" "L" 25 0 39 67 96.330264003343
"1204" "W" "02/10/2024" "16:30:00" "2" "R" 62 0 108 32 611.207758433352
"1221" "W" "29/09/2024" "16:00:00" "1" "L" 29 0 30 22 390.534007484311
"1222" "W" "29/09/2024" "16:00:00" "1" "R" 17 0 46 12 160.288209954201
"1223" "W" "29/09/2024" "16:00:00" "2" "L" 39 4 46 16 382.08831188136
"1224" "W" "29/09/2024" "16:00:00" "2" "R" 45 1 39 19 445.08269750985
"1241" "E" "02/10/2024" "16:06:00" "1" "L" 46 0 49 27 635.9433397636
"1242" "E" "02/10/2024" "16:06:00" "1" "R" 34 0 32 26 385.701089308889
"1243" "E" "02/10/2024" "16:06:00" "2" "L" 59 2 109 22 552.25172099927
"1244" "E" "02/10/2024" "16:06:00" "2" "R" 46 0 38 23 412.566106853086
"1261" "W" "03/10/2024" "17:16:00" "1" "L" 44 0 7 16 669.701402481049
"1262" "W" "03/10/2024" "17:16:00" "1" "R" 28 0 37 21 123.49878204894
"1263" "W" "03/10/2024" "17:16:00" "2" "L" 56 0 4 10 564.079505852334
"1264" "W" "03/10/2024" "17:16:00" "2" "R" 54 0 8 15 499.46270750244
"1281" "E" "04/10/2024" "07:45:00" "1" "L" 49 3 16 32 321.436094224938
"1282" "E" "04/10/2024" "07:45:00" "1" "R" 38 9 58 59 378.514065621658
"1283" "E" "04/10/2024" "07:45:00" "2" "L" 65 0 1 31 596.373939727323
"1284" "E" "04/10/2024" "07:45:00" "2" "R" 54 3 1 24 532.130906395387
"1301" "E" "02/10/2024" "17:15:00" "1" "L" 43 2 0 40 498.566688347987
"1302" "E" "02/10/2024" "17:15:00" "1" "R" 24 0 2 16 223.813471711882
"1303" "E" "02/10/2024" "17:15:00" "2" "L" 68 5 30 20 743.226351324819
"1304" "E" "02/10/2024" "17:15:00" "2" "R" 44 15 3.5 12 408.414720095787
"1321" "W" "29/09/2024" "13:55:00" "1" "L" 54 0 48 20 674.449078993387
"1322" "W" "28/09/2024" "13:55:00" "1" "R" 46 6 15 35 264.110411313146
"1323" "W" "01/10/2024" "13:55:00" "2" "L" 67 1 65 31 533.739953243359
"1324" "W" "30/09/2024" "13:55:00" "2" "R" 47 1 125 21 326.855012086645
"1341" "W" "03/10/2024" "17:15:00" "1" "L" 22 1 20 18 211.088690191772
"1342" "W" "03/10/2024" "17:15:00" "1" "R" 20 0 85 15 436.700038018709
"1343" "W" "03/10/2024" "17:15:00" "2" "L" 55 1 35 20 457.832569766003
"1344" "W" "03/10/2024" "17:15:00" "2" "R" 55 0 35 13 557.4310860147
"1361" "E" "29/09/2024" "14:50:00" "1" "L" 55 1 8 7 619.534904422225
"1362" "E" "29/09/2024" "14:50:00" "1" "R" 32 0 17 12 584.270961134142
"1363" "E" "29/09/2024" "14:50:00" "2" "L" 70 0 4 10 954.467511933511
"1364" "E" "29/09/2024" "14:50:00" "2" "R" 54 0 0.5 15 690.894454898945
"1381" "W" "29/09/2024" "15:15:00" "1" "L" 45 9 35 13 530.874703095121
"1382" "W" "29/09/2024" "15:15:00" "1" "R" 30 0 60 15 406.940989626234
"1383" "W" "29/09/2024" "15:15:00" "2" "L" 65 9 75 5 634.349811746129
"1384" "W" "29/09/2024" "15:15:00" "2" "R" 45 1 60 20 357.267776234624
"1401" "E" "02/10/2024" "16:00:00" "1" "L" 47 0 0.1 40 397.720557072312
"1402" "E" "02/10/2024" "16:00:00" "1" "R" 45 0 40 42 763.525918477185
"1403" "E" "02/10/2024" "16:00:00" "2" "L" 59 0 11 10 390.599058981277
"1404" "E" "02/10/2024" "16:00:00" "2" "R" 43 0 3 9 287.02325806963
"1421" "E" "30/09/2024" "14:05:00" "1" "L" 37 0 2 5 513.387928414346
"1422" "E" "30/09/2024" "14:00:00" "1" "R" 22 0 38 34 276.711485195591
"1423" "E" "30/09/2024" "14:15:00" "2" "L" 61 19 55 25 544.965078005703
"1424" "E" "30/09/2024" "14:10:00" "2" "R" 47 0 1 17 469.975869906873
"1441" "W" "01/10/2024" "15:00:00" "1" "L" 65 0 50 14 793.325524230621
"1442" "W" "01/10/2024" "15:00:00" "1" "R" 31 0 40 16 396.716448346224
"1443" "W" "01/10/2024" "15:00:00" "2" "L" 62 1 6 33 535.24037195031
"1444" "W" "01/10/2024" "15:00:00" "2" "R" 43 0 20 14 342.788932129492
"1461" "W" "27/09/2024" "14:27:00" "1" "L" 46 7 0 20 509.392724503894
"1462" "W" "27/09/2024" "14:27:00" "1" "R" 32 0 27 9 376.220294865558
"1463" "W" "27/09/2024" "14:27:00" "2" "L" 50 0 20 19 466.210274170048
"1464" "W" "27/09/2024" "14:27:00" "2" "R" 51 0 20 23 382.668484614679
"1481" "W" "30/09/2024" "15:40:00" "1" "L" 29 0 5 15 423.76354632365
"1482" "W" "30/09/2024" "15:40:00" "1" "R" 13 0 20 7 235.334836650259
"1483" "W" "30/09/2024" "15:40:00" "2" "L" 47 23 0 14 494.661424925899
"1484" "W" "30/09/2024" "15:40:00" "2" "R" 21 0 51 11 243.708460886335
"1501" "W" "29/09/2024" "14:52:00" "1" "L" 18 0 43 18 223.864834580702
"1502" "W" "29/09/2024" "14:52:00" "1" "R" 15 0 50 17 162.952000668555
"1503" "W" "29/09/2024" "14:52:00" "2" "L" 47 2 22 25 591.135231890734
"1504" "W" "29/09/2024" "14:52:00" "2" "R" 40 4 0 20 580.449979404851
"1521" "W" "30/09/2024" "15:43:00" "1" "L" 52 0 58 24 575.518093052153
"1522" "W" "30/09/2024" "15:43:00" "1" "R" 31 0 63 21 525.589963516831
"1523" "W" "30/09/2024" "15:43:00" "2" "L" 73 0 19 17 839.04017820506
"1524" "W" "30/09/2024" "15:43:00" "2" "R" 44 0 44 20 482.095040183229
"1541" "E" "02/10/2024" "16:55:00" "1" "L" 53 0 29 21 777.747015335825
"1542" "E" "02/10/2024" "16:55:00" "1" "R" 28 0 20 24 539.615641221367
"1543" "E" "02/10/2024" "16:55:00" "2" "L" 68 3 4 48 736.626958890639
"1544" "E" "02/10/2024" "16:55:00" "2" "R" 34 0 14 20 301.577395622982
"1561" "W" "04/10/2024" "11:31:00" "1" "L" 50 0 20 14 627.041365503774
"1562" "W" "04/10/2024" "11:31:00" "1" "R" 23 0 55 27 278.811396069569
"1563" "W" "04/10/2024" "11:31:00" "2" "L" 51 0 132 25 512.75785405174
"1564" "W" "04/10/2024" "11:31:00" "2" "R" 45 0 72 35 171.128007988554
"1581" "E" "06/10/2024" "14:12:00" "1" "L" 52 0 10 33 701.095770477548
"1582" "E" "06/10/2024" "14:12:00" "1" "R" 40 0 15 35 401.412821145905
"1583" "E" "06/10/2024" "14:12:00" "2" "L" 56 2 12 29 608.634961321292
"1584" "E" "06/10/2024" "14:12:00" "2" "R" 47 0 20 27 304.278392712716
